Date,League,Account,Action,Stash,Item
"15/05/2023, 17:42:51","Crucible","0v3r_Dk","removed","General","level 21 0% Determination"
"15/05/2023, 17:31:51","Crucible","0v3r_Dk","modified","Fragment","7× Gilded Divination Scarab"
"15/05/2023, 14:35:05","Crucible","swozn","modified","Divination Cards","9× The Lover"
"15/05/2023, 14:35:03","Crucible","swozn","removed","Currency","Stacked Deck"
"15/05/2023, 14:34:58","Crucible","swozn","modified","Currency","55× Lesser Eldritch Ichor"
"15/05/2023, 14:34:58","Crucible","swozn","added","Currency","Stacked Deck"
"15/05/2023, 14:34:58","Crucible","swozn","modified","Currency","582× Orb of Chance"
"15/05/2023, 14:34:57","Crucible","swozn","modified","Divination Cards","180× Lingering Remnants"
"15/05/2023, 14:34:57","Crucible","swozn","modified","Currency","4098× Orb of Alteration"
"15/05/2023, 14:34:57","Crucible","swozn","modified","Currency","32× Vaal Orb"
"15/05/2023, 14:34:56","Crucible","swozn","modified","Currency","4078× Orb of Alteration"
"15/05/2023, 14:34:55","Crucible","swozn","modified","Currency","4058× Orb of Alteration"
"15/05/2023, 14:34:55","Crucible","swozn","modified","Currency","4038× Orb of Alteration"
"15/05/2023, 14:34:55","Crucible","swozn","modified","Divination Cards","163× The Union"
"15/05/2023, 14:34:54","Crucible","swozn","modified","Currency","4018× Orb of Alteration"
"15/05/2023, 14:34:54","Crucible","swozn","modified","Currency","137× Orb of Regret"
"15/05/2023, 14:34:54","Crucible","swozn","modified","Currency","273× Gemcutter's Prism"
"15/05/2023, 14:34:53","Crucible","swozn","modified","Currency","59× Lesser Eldritch Ember"
"15/05/2023, 14:34:53","Crucible","swozn","removed","Fragment","88× Timeless Templar Splinter"
"15/05/2023, 14:34:53","Crucible","swozn","modified","Fragment","2× Timeless Templar Emblem"
"15/05/2023, 14:34:53","Crucible","swozn","modified","Currency","516× Cartographer's Chisel"
"15/05/2023, 14:34:52","Crucible","swozn","modified","Currency","3998× Orb of Alteration"
