,value,type,name,datetime
0,1.86388,Currency,Armourer's Scrap,2020-04-18 12:17:56.051739
1,1.8333700000000002,Currency,Intrinsic Catalyst,2020-04-18 12:17:56.051739
2,9.822768414893616,Currency,Blacksmith's Whetstone,2020-04-18 12:17:56.051739
3,2.0,Essence,Shrieking Essence of Dread,2020-04-18 12:17:56.051739
4,1.0,Essence,Weeping Essence of Sorrow,2020-04-18 12:17:56.051739
5,14.292671219512195,Currency,Awakened Sextant,2020-04-18 12:17:56.051739
6,1.8333700000000002,Currency,Glassblower's Bauble,2020-04-18 12:17:56.051739
7,1.40004,Currency,Orb of Binding,2020-04-18 12:17:56.051739
8,20.52835689473684,Currency,Orb of Regret,2020-04-18 12:17:56.051739
9,1.8333700000000002,Currency,Abrasive Catalyst,2020-04-18 12:17:56.051739
10,17.944531647058824,Currency,Jeweller's Orb,2020-04-18 12:17:56.051739
11,17.050341000000003,Currency,Orb of Augmentation,2020-04-18 12:17:56.051739
12,8.149185000000001,Currency,Perandus Coin,2020-04-18 12:17:56.051739
13,0.75,Currency,Engineer's Orb,2020-04-18 12:17:56.051739
14,0.0,,Chaos Shard,2020-04-18 12:17:56.051739
15,5.439324,Currency,Silver Coin,2020-04-18 12:17:56.051739
16,1.33332,Currency,Turbulent Catalyst,2020-04-18 12:17:56.051739
17,3.0,DeliriumOrb,Portentous Delirium Orb,2020-04-18 12:17:56.051739
18,3.0,Essence,Remnant of Corruption,2020-04-18 12:17:56.051739
19,0.0,,Ancient Shard,2020-04-18 12:17:56.051739
20,19.360000000000003,Currency,Orb of Chance,2020-04-18 12:17:56.051739
21,0.0,,Transmutation Shard,2020-04-18 12:17:56.051739
22,30.248188325581395,Currency,Orb of Fusing,2020-04-18 12:17:56.051739
23,3.32505,Currency,Regal Orb,2020-04-18 12:17:56.051739
24,0.0,,Regal Shard,2020-04-18 12:17:56.051739
25,0.0,,Orb of Transmutation,2020-04-18 12:17:56.051739
26,0.0,,Binding Shard,2020-04-18 12:17:56.051739
27,1.28574,Currency,Orb of Horizons,2020-04-18 12:17:56.051739
28,72.456087,Currency,Orb of Alteration,2020-04-18 12:17:56.051739
29,3.1667300000000003,Currency,Simple Sextant,2020-04-18 12:17:56.051739
30,0.9167400000000001,Currency,Blessed Orb,2020-04-18 12:17:56.051739
31,0.0,,Portal Scroll,2020-04-18 12:17:56.051739
32,3.0,Currency,Tempering Catalyst,2020-04-18 12:17:56.051739
33,0.0,,Scroll of Wisdom,2020-04-18 12:17:56.051739
34,5.9399999999999995,Fossil,Dense Fossil,2020-04-18 12:17:56.051739
35,1.7143199999999998,Currency,Splinter of Tul,2020-04-18 12:17:56.051739
36,0.0,,Exalted Orb,2020-04-18 12:17:56.051739
37,1.0,Essence,Screaming Essence of Anger,2020-04-18 12:17:56.051739
38,0.0,,Medium Cluster Jewel,2020-04-18 12:17:56.051739
39,8.375430136986301,Currency,Orb of Alchemy,2020-04-18 12:17:56.051739
40,1.0,Essence,Wailing Essence of Spite,2020-04-18 12:17:56.051739
41,6.935060000000001,Currency,Chromatic Orb,2020-04-18 12:17:56.051739
42,40.225982696428574,Currency,Vaal Orb,2020-04-18 12:17:56.051739
43,7.3333699999999995,Currency,Prime Sextant,2020-04-18 12:17:56.051739
44,4.48616,Currency,Gemcutter's Prism,2020-04-18 12:17:56.051739
45,162.45765250000002,Fragment,Simulacrum Splinter,2020-04-18 12:17:56.051739
46,0.0,,Chaos Orb,2020-04-18 12:17:56.051739
47,0.0,,Horizon Shard,2020-04-18 12:17:56.051739
48,6.0,DeliriumOrb,Armoursmith's Delirium Orb,2020-04-18 12:17:56.051739
49,4.7481138305084745,Currency,Cartographer's Chisel,2020-04-18 12:17:56.051739
50,0.0,,Alchemy Shard,2020-04-18 12:17:56.051739
51,0.0,,Alteration Shard,2020-04-18 12:17:56.051739
52,42.78878356097562,Currency,Orb of Scouring,2020-04-18 12:17:56.051739
53,0.0,,The Hermit,2020-04-18 12:17:56.051739
54,0.0,,Imperial Legacy,2020-04-18 12:17:56.051739
55,0.0,,The Lord of Celebration,2020-04-18 12:17:56.051739
56,0.0,,Prosperity,2020-04-18 12:17:56.051739
57,0.0,,The Catalyst,2020-04-18 12:17:56.051739
58,0.0,,Nook's Crown,2020-04-18 12:17:56.051739
59,0.0,,The Blazing Fire,2020-04-18 12:17:56.051739
60,0.0,,Arrogance of the Vaal,2020-04-18 12:17:56.051739
61,0.0,,Humility,2020-04-18 12:17:56.051739
62,0.0,,The Flora's Gift,2020-04-18 12:17:56.051739
63,0.0,,Thirst for Knowledge,2020-04-18 12:17:56.051739
64,0.0,,The Gemcutter,2020-04-18 12:17:56.051739
65,0.0,,Her Mask,2020-04-18 12:17:56.051739
66,0.0,,The Jeweller's Boon,2020-04-18 12:17:56.051739
67,0.0,,Scholar of the Seas,2020-04-18 12:17:56.051739
68,0.0,,The Tinkerer's Table,2020-04-18 12:17:56.051739
69,0.0,,The Dapper Prodigy,2020-04-18 12:17:56.051739
70,0.0,,The Lover,2020-04-18 12:17:56.051739
71,0.0,,Hunter's Resolve,2020-04-18 12:17:56.051739
72,0.0,,The Endurance,2020-04-18 12:17:56.051739
73,0.0,,The King's Blade,2020-04-18 12:17:56.051739
74,0.0,,The Gentleman,2020-04-18 12:17:56.051739
75,0.0,,The Warden,2020-04-18 12:17:56.051739
76,0.0,,Emperor of Purity,2020-04-18 12:17:56.051739
77,0.0,,Boundless Realms,2020-04-18 12:17:56.051739
78,0.0,,Lantador's Lost Love,2020-04-18 12:17:56.051739
79,0.0,,Mitts,2020-04-18 12:17:56.051739
80,0.0,,Divine Justice,2020-04-18 12:17:56.051739
81,0.0,,Grave Knowledge,2020-04-18 12:17:56.051739
82,0.0,,Deathly Designs,2020-04-18 12:17:56.051739
83,0.0,,The Dreamer,2020-04-18 12:17:56.051739
84,0.0,,Rain of Chaos,2020-04-18 12:17:56.051739
85,0.0,,The Polymath,2020-04-18 12:17:56.051739
86,0.0,,Gift of the Gemling Queen,2020-04-18 12:17:56.051739
87,0.0,,The Queen,2020-04-18 12:17:56.051739
88,0.0,,Harmony of Souls,2020-04-18 12:17:56.051739
89,0.0,,The Survivalist,2020-04-18 12:17:56.051739
90,0.0,,The Aesthete,2020-04-18 12:17:56.051739
91,0.0,,The Doppelganger,2020-04-18 12:17:56.051739
92,0.0,,The Seeker,2020-04-18 12:17:56.051739
93,0.0,,The Puzzle,2020-04-18 12:17:56.051739
94,0.0,,Last Hope,2020-04-18 12:17:56.051739
95,0.0,,Gemcutter's Promise,2020-04-18 12:17:56.051739
96,0.0,,The Garish Power,2020-04-18 12:17:56.051739
97,0.0,,The Lion,2020-04-18 12:17:56.051739
98,0.0,,The Union,2020-04-18 12:17:56.051739
99,0.0,,Hubris,2020-04-18 12:17:56.051739
100,0.0,,The Battle Born,2020-04-18 12:17:56.051739
101,0.0,,The Rite of Elements,2020-04-18 12:17:56.051739
102,0.0,,The Encroaching Darkness,2020-04-18 12:17:56.051739
103,0.0,,The Price of Protection,2020-04-18 12:17:56.051739
104,0.0,,Three Faces in the Dark,2020-04-18 12:17:56.051739
105,0.0,,The Chains that Bind,2020-04-18 12:17:56.051739
106,0.0,,The Wolf's Shadow,2020-04-18 12:17:56.051739
107,0.0,,The Obscured,2020-04-18 12:17:56.051739
108,0.0,,Emperor's Luck,2020-04-18 12:17:56.051739
109,0.0,,The Pact,2020-04-18 12:17:56.051739
110,0.0,,The Metalsmith's Gift,2020-04-18 12:17:56.051739
111,0.0,,A Mother's Parting Gift,2020-04-18 12:17:56.051739
112,0.0,,Destined to Crumble,2020-04-18 12:17:56.051739
113,0.0,,The Wrath,2020-04-18 12:17:56.051739
114,0.0,,Vinia's Token,2020-04-18 12:17:56.051739
115,0.0,,The Scarred Meadow,2020-04-18 12:17:56.051739
116,0.0,,Turn the Other Cheek,2020-04-18 12:17:56.051739
117,0.0,,The Stormcaller,2020-04-18 12:17:56.051739
118,0.0,,Thunderous Skies,2020-04-18 12:17:56.051739
119,0.0,,The Beast,2020-04-18 12:17:56.051739
120,0.0,,The Journey,2020-04-18 12:17:56.051739
121,0.0,,Loyalty,2020-04-18 12:17:56.051739
122,0.0,,The Professor,2020-04-18 12:17:56.051739
123,0.0,,Volatile Power,2020-04-18 12:17:56.051739
124,0.0,,The Inventor,2020-04-18 12:17:56.051739
125,0.0,,The Opulent,2020-04-18 12:17:56.051739
126,0.0,,The Carrion Crow,2020-04-18 12:17:56.051739
127,0.0,,Dark Temptation,2020-04-18 12:17:56.051739
128,0.0,,Lucky Connections,2020-04-18 12:17:56.051739
129,0.0,,The Sword King's Salute,2020-04-18 12:17:56.051739
130,0.0,,The Incantation,2020-04-18 12:17:56.051739
131,0.0,,The Sigil,2020-04-18 12:17:56.051739
132,0.0,,Akil's Prophecy,2020-04-18 12:17:56.051739
133,0.0,,The Messenger,2020-04-18 12:17:56.051739
134,0.0,,The Lunaris Priestess,2020-04-18 12:17:56.051739
135,0.0,,Doedre's Madness,2020-04-18 12:17:56.051739
136,0.0,,Three Voices,2020-04-18 12:17:56.051739
137,0.0,,The Twilight Moon,2020-04-18 12:17:56.051739
138,0.0,,Boon of Justice,2020-04-18 12:17:56.051739
139,0.0,,The Scholar,2020-04-18 12:17:56.051739
140,0.0,,The Fox,2020-04-18 12:17:56.051739
141,0.0,,The Wretched,2020-04-18 12:17:56.051739
142,0.0,,Buried Treasure,2020-04-18 12:17:56.051739
143,0.0,,The Gambler,2020-04-18 12:17:56.051739
144,0.0,,The Realm,2020-04-18 12:17:56.051739
145,0.0,,Jack in the Box,2020-04-18 12:17:56.051739
146,0.0,,The Void,2020-04-18 12:17:56.051739
147,0.0,,Struck by Lightning,2020-04-18 12:17:56.051739
148,0.0,,The Valkyrie,2020-04-18 12:17:56.051739
149,0.9871553846153847,Fragment,Sacrifice at Midnight,2020-04-18 12:17:56.051739
