,value,type,type_line,datetime
0,6.32576175,Currency,Armourer's Scrap,2020-04-18 19:54:37.152957
1,0.0,Map,Chateau Map,2020-04-18 19:54:37.152957
2,1.7929439999999999,Currency,Intrinsic Catalyst,2020-04-18 19:54:37.152957
3,12.100121000000001,Currency,Blacksmith's Whetstone,2020-04-18 19:54:37.152957
4,12.0,Currency,Stacked Deck,2020-04-18 19:54:37.152957
5,21.17336064516129,Currency,Awakened Sextant,2020-04-18 19:54:37.152957
6,2.546705,Currency,Glassblower's Bauble,2020-04-18 19:54:37.152957
7,1.51671,Currency,Orb of Binding,2020-04-18 19:54:37.152957
8,0.0,,Alchemy Shard,2020-04-18 19:54:37.152957
9,7.0,Currency,Exalted Shard,2020-04-18 19:54:37.152957
10,22.628232000000004,Currency,Orb of Regret,2020-04-18 19:54:37.152957
11,2.33338,Currency,Abrasive Catalyst,2020-04-18 19:54:37.152957
12,20.855732333333336,Currency,Jeweller's Orb,2020-04-18 19:54:37.152957
13,11.000220000000002,Currency,Orb of Augmentation,2020-04-18 19:54:37.152957
14,9.408662999999999,Currency,Perandus Coin,2020-04-18 19:54:37.152957
15,0.6226781443298969,Currency,Engineer's Orb,2020-04-18 19:54:37.152957
16,0.0,,Alteration Shard,2020-04-18 19:54:37.152957
17,0.0,,Chaos Shard,2020-04-18 19:54:37.152957
18,0.0,,Transmutation Shard,2020-04-18 19:54:37.152957
19,5.758477999999999,Currency,Silver Coin,2020-04-18 19:54:37.152957
20,1.8122436734693879,Currency,Turbulent Catalyst,2020-04-18 19:54:37.152957
21,0.0,,Scroll Fragment,2020-04-18 19:54:37.152957
22,5.9399999999999995,Essence,Remnant of Corruption,2020-04-18 19:54:37.152957
23,1.0,Oil,Azure Oil,2020-04-18 19:54:37.152957
24,2.0,DeliriumOrb,Portentous Delirium Orb,2020-04-18 19:54:37.152957
25,0.0,,Ancient Shard,2020-04-18 19:54:37.152957
26,11.859943666666668,Currency,Orb of Chance,2020-04-18 19:54:37.152957
27,34.241867,Currency,Orb of Fusing,2020-04-18 19:54:37.152957
28,1.8099085714285714,Currency,Regal Orb,2020-04-18 19:54:37.152957
29,0.0,,Regal Shard,2020-04-18 19:54:37.152957
