,value,type,type_line,price,datetime
0,6.437866734693878,Currency,Armourer's Scrap,0.1170521224489796,2020-04-19 11:30:40.370092
1,12.728554069767442,Currency,Blacksmith's Whetstone,0.09716453488372094,2020-04-19 11:30:40.370092
2,10.744375714285715,Currency,Orb of Regret,0.30698216326530614,2020-04-19 11:30:40.370092
3,3.0,DeliriumOrb,Amorphous Delirium Orb,3.0,2020-04-19 11:30:40.370092
4,0.0,,Alteration Shard,,2020-04-19 11:30:40.370092
5,1.51671,Currency,Orb of Binding,0.11667,2020-04-19 11:30:40.370092
6,0.0,,Alchemy Shard,,2020-04-19 11:30:40.370092
7,7.0,Currency,Exalted Shard,7.0,2020-04-19 11:30:40.370092
8,2.0,Currency,Harbinger's Orb,2.0,2020-04-19 11:30:40.370092
9,2.33338,Currency,Abrasive Catalyst,0.16667,2020-04-19 11:30:40.370092
10,5.475008000000001,Currency,Jeweller's Orb,0.048884000000000004,2020-04-19 11:30:40.370092
11,0.5604950704225352,Currency,Glassblower's Bauble,0.18683169014084508,2020-04-19 11:30:40.370092
12,9.479052000000001,Currency,Perandus Coin,0.009999000000000001,2020-04-19 11:30:40.370092
13,0.77777,Currency,Engineer's Orb,0.11111,2020-04-19 11:30:40.370092
14,0.0,,Horizon Shard,,2020-04-19 11:30:40.370092
15,0.0,,Chaos Shard,,2020-04-19 11:30:40.370092
16,0.47141671641791044,Currency,Regal Orb,0.23570835820895522,2020-04-19 11:30:40.370092
17,16.0,DeliriumOrb,Fine Delirium Orb,16.0,2020-04-19 11:30:40.370092
18,0.0,,Transmutation Shard,,2020-04-19 11:30:40.370092
19,6.526993,Currency,Silver Coin,0.073337,2020-04-19 11:30:40.370092
20,2.66664,Currency,Turbulent Catalyst,0.33333,2020-04-19 11:30:40.370092
21,0.0,,Scroll Fragment,,2020-04-19 11:30:40.370092
22,6.0,Currency,Stacked Deck,2.0,2020-04-19 11:30:40.370092
23,3.0,Essence,Remnant of Corruption,0.5,2020-04-19 11:30:40.370092
24,0.0,,Medium Cluster Jewel,,2020-04-19 11:30:40.370092
25,2.0,DeliriumOrb,Portentous Delirium Orb,2.0,2020-04-19 11:30:40.370092
26,0.0,,Ancient Shard,,2020-04-19 11:30:40.370092
27,11.983726723404256,Currency,Orb of Chance,0.12104774468085108,2020-04-19 11:30:40.370092
28,36.605569,Currency,Orb of Fusing,0.180323,2020-04-19 11:30:40.370092
29,0.0,,Regal Shard,,2020-04-19 11:30:40.370092
30,0.0,,Orb of Transmutation,,2020-04-19 11:30:40.370092
31,0.0,,Binding Shard,,2020-04-19 11:30:40.370092
32,6.829470083333334,Currency,Orb of Alteration,0.24390964583333336,2020-04-19 11:30:40.370092
33,2.5,Currency,Orb of Horizons,0.25,2020-04-19 11:30:40.370092
34,2.0,DeliriumOrb,Decadent Delirium Orb,2.0,2020-04-19 11:30:40.370092
35,4.133745,Currency,Simple Sextant,0.19684500000000002,2020-04-19 11:30:40.370092
36,0.90816,Currency,Blessed Orb,0.030272,2020-04-19 11:30:40.370092
37,0.0,,Portal Scroll,,2020-04-19 11:30:40.370092
38,59.582875,Fragment,Simulacrum Splinter,0.476663,2020-04-19 11:30:40.370092
39,3.0,Currency,Tempering Catalyst,1.0,2020-04-19 11:30:40.370092
40,0.0,,Scroll of Wisdom,,2020-04-19 11:30:40.370092
41,2.082803488372093,Currency,Orb of Scouring,0.4165606976744186,2020-04-19 11:30:40.370092
42,8.212795317073171,Currency,Orb of Alchemy,0.1710999024390244,2020-04-19 11:30:40.370092
43,2.192270769230769,Currency,Intrinsic Catalyst,0.15659076923076923,2020-04-19 11:30:40.370092
44,1.5000300000000002,Currency,Orb of Augmentation,0.16667,2020-04-19 11:30:40.370092
45,6.0928823076923075,Currency,Vaal Orb,0.6769869230769231,2020-04-19 11:30:40.370092
46,8.00004,Currency,Prime Sextant,0.66667,2020-04-19 11:30:40.370092
47,2.48484,Currency,Gemcutter's Prism,0.62121,2020-04-19 11:30:40.370092
48,0.0,,Chaos Orb,,2020-04-19 11:30:40.370092
49,8.138111666666667,Currency,Chromatic Orb,0.13341166666666668,2020-04-19 11:30:40.370092
50,2.049894117647059,Currency,Cartographer's Chisel,0.2049894117647059,2020-04-19 11:30:40.370092
51,1.0,DivinationCard,The Hermit,1.0,2020-04-19 11:30:40.370092
52,6.0,DivinationCard,Imperial Legacy,1.0,2020-04-19 11:30:40.370092
53,2.0,DivinationCard,Prosperity,1.0,2020-04-19 11:30:40.370092
54,24.0,DivinationCard,The Catalyst,2.0,2020-04-19 11:30:40.370092
55,1.0,DivinationCard,The Blazing Fire,1.0,2020-04-19 11:30:40.370092
56,21.0,DivinationCard,Arrogance of the Vaal,7.0,2020-04-19 11:30:40.370092
