,value,type,type_line,price,shoplink_template,stack_size,datetime
0,13.442578260869565,Currency,Armourer's Scrap,0.1189608695652174,"[linkItem location=""Stash1"" league=""Delirium"" x=""3"" y=""0""] ~b/o {final_price} {fx_id}",113,2020-04-22 19:44:46.209581
1,0.8288156521739131,Currency,Imbued Catalyst,0.10360195652173913,"[linkItem location=""Stash1"" league=""Delirium"" x=""43"" y=""0""] ~b/o {final_price} {fx_id}",8,2020-04-22 19:44:46.209581
2,3.856765463917526,Currency,Blacksmith's Whetstone,0.11019329896907216,"[linkItem location=""Stash1"" league=""Delirium"" x=""0"" y=""0""] ~b/o {final_price} {fx_id}",35,2020-04-22 19:44:46.209581
3,5.332645656565656,Currency,Gemcutter's Prism,0.666580707070707,"[linkItem location=""Stash1"" league=""Delirium"" x=""16"" y=""0""] ~b/o {final_price} {fx_id}",8,2020-04-22 19:44:46.209581
4,1.7087999999999999,Currency,Orb of Binding,0.11392,"[linkItem location=""Stash1"" league=""Delirium"" x=""59"" y=""0""] ~b/o {final_price} {fx_id}",15,2020-04-22 19:44:46.209581
5,0.0,,Exalted Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""51"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-22 19:44:46.209581
6,0.0,,Scroll Fragment,,"[linkItem location=""Stash1"" league=""Delirium"" x=""23"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-22 19:44:46.209581
7,0.0,,Horizon Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""56"" y=""0""] ~b/o {final_price} {fx_id}",7,2020-04-22 19:44:46.209581
8,2.0,Currency,Harbinger's Orb,2.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""57"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-22 19:44:46.209581
9,3.1667300000000003,Currency,Abrasive Catalyst,0.16667,"[linkItem location=""Stash1"" league=""Delirium"" x=""34"" y=""0""] ~b/o {final_price} {fx_id}",19,2020-04-22 19:44:46.209581
10,7.453799999999999,Currency,Jeweller's Orb,0.04545,"[linkItem location=""Stash1"" league=""Delirium"" x=""19"" y=""0""] ~b/o {final_price} {fx_id}",164,2020-04-22 19:44:46.209581
11,1.2,Currency,Glassblower's Bauble,0.3,"[linkItem location=""Stash1"" league=""Delirium"" x=""15"" y=""0""] ~b/o {final_price} {fx_id}",4,2020-04-22 19:44:46.209581
12,0.63637,Currency,Engineer's Orb,0.09091,"[linkItem location=""Stash1"" league=""Delirium"" x=""60"" y=""0""] ~b/o {final_price} {fx_id}",7,2020-04-22 19:44:46.209581
