,chaos_value,type,type_line,price,shoplink_template,stack_size,datetime
0,20.762252727272728,Currency,Armourer's Scrap,0.13309136363636365,"[linkItem location=""Stash1"" league=""Delirium"" x=""3"" y=""0""] ~b/o {final_price} {fx_id}",156,2020-04-25 12:45:11.149875
1,0.8986363636363637,Currency,Imbued Catalyst,0.09984848484848485,"[linkItem location=""Stash1"" league=""Delirium"" x=""43"" y=""0""] ~b/o {final_price} {fx_id}",9,2020-04-25 12:45:11.149875
2,6.809571428571429,Currency,Blacksmith's Whetstone,0.11349285714285715,"[linkItem location=""Stash1"" league=""Delirium"" x=""0"" y=""0""] ~b/o {final_price} {fx_id}",60,2020-04-25 12:45:11.149875
3,11.62725030927835,Currency,Gemcutter's Prism,0.6459583505154639,"[linkItem location=""Stash1"" league=""Delirium"" x=""16"" y=""0""] ~b/o {final_price} {fx_id}",18,2020-04-25 12:45:11.149875
4,2.7671233333333336,Currency,Orb of Binding,0.1317677777777778,"[linkItem location=""Stash1"" league=""Delirium"" x=""59"" y=""0""] ~b/o {final_price} {fx_id}",21,2020-04-25 12:45:11.149875
5,30.0,DeliriumOrb,Fine Delirium Orb,15.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""44"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-25 12:45:11.149875
6,15.0,Hard Currency,Divine Orb,15.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""20"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-25 12:45:11.149875
7,18.0,Currency,Exalted Shard,9.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""51"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-25 12:45:11.149875
8,0.0,,Alchemy Shard,,"[linkItem location=""Stash1"" league=""Delirium"" x=""26"" y=""0""] ~b/o {final_price} {fx_id}",19,2020-04-25 12:45:11.149875
9,0.0,,Scroll Fragment,,"[linkItem location=""Stash1"" league=""Delirium"" x=""23"" y=""0""] ~b/o {final_price} {fx_id}",2,2020-04-25 12:45:11.149875
10,1.0,Currency,Harbinger's Orb,1.0,"[linkItem location=""Stash1"" league=""Delirium"" x=""57"" y=""0""] ~b/o {final_price} {fx_id}",1,2020-04-25 12:45:11.149875
11,3.927364329896907,Currency,Abrasive Catalyst,0.1454579381443299,"[linkItem location=""Stash1"" league=""Delirium"" x=""34"" y=""0""] ~b/o {final_price} {fx_id}",27,2020-04-25 12:45:11.149875
12,8.771849999999999,Currency,Jeweller's Orb,0.04545,"[linkItem location=""Stash1"" league=""Delirium"" x=""19"" y=""0""] ~b/o {final_price} {fx_id}",193,2020-04-25 12:45:11.149875
13,2.4910429787234043,Currency,Glassblower's Bauble,0.20758691489361702,"[linkItem location=""Stash1"" league=""Delirium"" x=""15"" y=""0""] ~b/o {final_price} {fx_id}",12,2020-04-25 12:45:11.149875
14,1.395840625,Currency,Engineer's Orb,0.1395840625,"[linkItem location=""Stash1"" league=""Delirium"" x=""60"" y=""0""] ~b/o {final_price} {fx_id}",10,2020-04-25 12:45:11.149875
