,chaos_value,type,type_line,price,shoplink_template,stack_size,datetime
0,73.2265125,Fragment,Simulacrum Splinter,0.5953375,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""31"" y=""0""] ~b/o {final_price} {fx_id}",123,2021-05-21 11:54:19.243340
1,15.0,Currency,Annulment Shard,1.0,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""53"" y=""0""] ~b/o {final_price} {fx_id}",15,2021-05-21 11:54:19.243340
2,102.0,Hard Currency,Divine Orb,17.0,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""20"" y=""0""] ~b/o {final_price} {fx_id}",6,2021-05-21 11:54:19.243340
3,3.6364,Hard Currency,Jeweller's Orb,0.09091,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""19"" y=""0""] ~b/o {final_price} {fx_id}",40,2021-05-21 11:54:19.243340
4,25.32975625,Currency,Silver Coin,0.110129375,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""35"" y=""0""] ~b/o {final_price} {fx_id}",230,2021-05-21 11:54:19.243340
5,2.0295585714285713,Hard Currency,Stacked Deck,2.0295585714285713,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""47"" y=""0""] ~b/o {final_price} {fx_id}",1,2021-05-21 11:54:19.243340
6,22.77,Hard Currency,Gemcutter's Prism,0.99,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""16"" y=""0""] ~b/o {final_price} {fx_id}",23,2021-05-21 11:54:19.243340
7,4.100820000000001,Currency,Scroll of Wisdom,0.01667,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""1"" y=""0""] ~b/o {final_price} {fx_id}",246,2021-05-21 11:54:19.243340
8,222.0,Hard Currency,Awakener's Orb,222.0,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""61"" y=""0""] ~b/o {final_price} {fx_id}",1,2021-05-21 11:54:19.243340
9,45.0,Hard Currency,Exalted Shard,7.5,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""51"" y=""0""] ~b/o {final_price} {fx_id}",6,2021-05-21 11:54:19.243340
10,5.2020218181818185,Currency,Harbinger's Orb,2.6010109090909093,"[linkItem location=""Stash1"" league=""Ultimatum"" x=""57"" y=""0""] ~b/o {final_price} {fx_id}",2,2021-05-21 11:54:19.243340
